Product ID,Product Name,Category,Material,Size,Special_features,Customer Type,Price,Payment Type,Sellable Online,Sales Volume,Return Rate,Storage Cost,Seasonality Score,Implicit Feedback,Sales_to_Return_Ratio,Revenue_Per_Product,Online_Sellability_Score,Storage_Efficiency_Score,High_Demand_Indicator,Implicit_Feedback_Score,Top_Rated,Likelihood_of_Purchase,Customer_Interest_Score,Expert_Judgment_Score
1,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Medium,Durable,Member,-0.0339501880464727,debit card,1,217,0.9370269339918442,1.27520131104889,-0.7094521757011711,Positive,112.02735294589026,-7.367190806084576,0.2172172172172172,-3.2380391002360267,0,1,1,0.004351138915623998,1,1
2,Ottoman Storage Bench,Storage & Organization,Fabric,Large,Foldable,Normal,-0.5889106958940368,debit card,1,698,-0.1123502671189228,0.7316307807017107,-1.1057941732995908,Positive,786.3462063290166,-411.05966573403765,0.6986986986986987,-237.3829746589879,0,1,1,0.013995829323067052,1,1
3,Rustic Bookshelf,Storage & Organization,Wood,Large,Durable,Member,-0.930909816767344,credit card,1,973,1.0549938341167124,-1.436628936669577,-0.7094521757011711,Neutral,473.4807393805246,-905.7752517146257,0.973973973973974,2074.473713591913,1,0,0,0.01950994546037857,0,1
4,Rattan Armchair,Sofas & Seating,Velvet,Medium,Durable,Member,-0.5852634595297929,cash on delivery,0,201,-0.593021367627714,1.2798638173849626,-1.1057941732995908,Negative,493.8834228921731,-117.63795536548837,0.0,-51.59867640709384,0,-1,0,0.004030317613089509,-1,0
5,Glass Dining Table,Tables,Glass,Large,Durable,Normal,-0.4912019780298911,debit card,0,932,1.1395074342061706,0.2401249044406808,0.4795738170940877,Positive,435.6142844372978,-457.80024352385846,0.0,-369.15655986308474,1,1,1,0.01868784087263394,1,2
6,Upholstered armchair,Sofas & Seating,Plastic,Medium,Foldable,Member,-0.2942809877187889,cash on delivery,1,701,0.4686807334960991,-0.6453627572185191,0.8759158146925075,Neutral,477.29910525299465,-206.29097239087102,0.7017017017017017,-581.6957372353096,0,0,0,0.014055983317292268,0,0
7,Wooden Side Table,Tables,Wood,Small,Waterproof,Normal,-1.865793260336834,credit card,1,319,-0.8359979678849051,1.5908918442205002,-0.3131101781027515,Neutral,1945.0978496176751,-595.18805004745,0.31931931931931934,-229.72323270658148,0,0,0,0.00639637471928136,0,0
8,Smart Office Desk,Tables,Wood,Small,Durable,Normal,-0.4877408251536188,cash on delivery,1,120,0.5338266335650563,-0.8147671540958389,-0.7094521757011711,Negative,78.23569976815784,-58.52889901843425,0.12012012012012012,-315.9747329516112,0,-1,0,0.002406159769008662,-1,0
9,Bistro Tables,Tables,Unknown,Medium,Smart,Normal,0.567970348825613,cash on delivery,0,679,-1.5455600686359776,-0.7215170273743784,-1.5021361708980103,Positive,-1244.5925554955884,385.65186685259124,0.0,1384.8310480764728,0,1,1,0.013614854026307346,1,2
10,Open Closet Organizer,Bedroom Furniture,Plastic,Small,Smart,Member,-1.2196890600807635,debit card,1,979,-0.1669319671766977,-0.90957144959599,1.272257812290927,Neutral,1175.1741291550081,-1194.0755898190675,0.97997997997998,-13204.630445630997,1,0,0,0.019630253448829002,0,1
11,Padded Dining Chair,Kitchen & Dining,Fabric,Medium,Minimalist,Member,1.7618447909540238,debit card,1,706,0.908855733962025,0.7590230054261402,-1.89847816849643,Neutral,369.85508513764154,1243.8624224135408,0.7067067067067067,707.1325494757831,0,0,0,0.014156239974334297,0,1
12,Modern TV Cabinet,Storage & Organization,Wood,Small,Durable,Member,1.4986631922459823,credit card,0,452,1.5479898346385492,0.9140513411005676,0.8759158146925075,Neutral,177.39474226125375,677.395762895184,0.0,353.9067883652931,0,0,0,0.009063201796599293,0,1
13,Rattan Armchair,Sofas & Seating,Velvet,Small,Ergonomic,Member,0.7310613610234722,credit card,1,177,0.5796048336135126,0.8237152808391529,1.272257812290927,Negative,112.05334159119647,129.3978609011546,0.17717717717717718,70.95288516835494,0,-1,0,0.0035490856592877767,-1,1
14,Rustic Bookshelf,Storage & Organization,Wood,Medium,Minimalist,Normal,1.768268392958804,credit card,1,703,0.4070562334308695,-1.324728784603825,-0.3131101781027515,Positive,499.6246655230352,1243.0926802500392,0.7037037037037037,-3828.0951341182613,0,1,1,0.014096085980109078,1,2
15,Foldable Sun Lounger,Outdoor Furniture,Plastic,Large,Smart,Normal,1.354522922463154,debit card,1,198,-0.3077879673257941,0.0516819400243964,-0.7094521757011711,Negative,286.0395235186413,268.1955386477045,0.1981981981981982,255.01582602196538,0,-1,0,0.003970163618864293,-1,1
16,Queen Bed with Storage,Bedroom Furniture,Wood,Small,Smart,Normal,1.5377481680595435,cash on delivery,1,979,-1.4452001685297464,-0.5740652644960695,0.4795738170940877,Negative,-2199.0108477117237,1505.455456530293,0.97997997997998,3534.4744887950114,1,-1,0,0.019630253448829002,-1,2
17,Upholstered armchair,Sofas & Seating,Plastic,Small,Foldable,Normal,1.1886332146062015,credit card,0,135,-0.5701322676034859,-1.2077775840073266,0.4795738170940877,Neutral,314.05008989014954,160.46548397183722,0.0,-772.294493356795,0,0,0,0.002706929740134745,0,1
18,Luxury Bean Bag,Sofas & Seating,Foam,Medium,Smart,Member,0.1706821020061739,debit card,0,761,1.2486708343217197,0.2768421418372558,-1.89847816849643,Positive,338.42214182030114,129.88907962669833,0.0,101.72681130323609,1,1,1,0.0152590632017966,1,3
19,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Medium,Durable,Normal,-0.3105819012651042,cash on delivery,1,751,-1.3976612684794265,-1.3076329280382235,-0.7094521757011711,Neutral,-1888.541981651034,-233.24700785009327,0.7517517517517518,758.1990957129018,1,0,0,0.015058549887712543,0,1
20,Adjustable Bar Stool,Kitchen & Dining,Metal,Small,Waterproof,Member,1.1600433475142398,credit card,1,744,-0.1370000671450148,1.182533997619439,-0.3131101781027515,Negative,862.1089894395375,863.0722505505944,0.7447447447447447,395.44504300596253,1,-1,0,0.014918190567853706,-1,2
21,Luxury Bean Bag,Sofas & Seating,Foam,Medium,Minimalist,Member,-1.2967499541195768,cash on delivery,0,300,-0.4944221675233465,0.706181266950646,1.272257812290927,Positive,593.3804465484616,-389.02498623587303,0.0,-228.00917685091792,0,1,1,0.006015399422521655,1,1
22,Rattan Armchair,Sofas & Seating,Velvet,Large,Waterproof,Normal,-1.4697703812356022,cash on delivery,1,59,-0.1739747671841524,0.7545547701874031,-1.5021361708980103,Negative,71.42638948071135,-86.71645249290053,0.05905905905905906,-49.42362242908974,0,-1,0,0.0011830285530959256,-1,0
23,Rustic Bookshelf,Storage & Organization,Wood,Medium,Minimalist,Member,0.1047862172456587,debit card,1,75,-1.0367177680973672,-0.0557499768026193,-0.3131101781027515,Negative,-2042.6078132286552,7.858966293424403,0.07507507507507508,8.322971776916344,0,-1,0,0.0015038498556304138,-1,1
24,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Small,Smart,Normal,-1.2732811046165942,debit card,1,468,-1.144120468211053,-0.9169537512947724,0.0832318194956681,Negative,-3247.283372092928,-595.8955569605661,0.46846846846846846,-7175.466276335919,0,-1,0,0.009384023099133783,-1,0
25,Sliding Door Wardrobe,Storage & Organization,Wood,Medium,Foldable,Member,1.184211870931996,debit card,0,163,-1.0314356680917762,-0.2954805109157069,0.0832318194956681,Neutral,-5185.192804686783,193.02653496191533,0.0,273.98324383162725,0,0,0,0.0032683670195700993,0,1
26,Large Wooden Dresser,Bedroom Furniture,Wood,Large,Ergonomic,Member,0.0244502538185449,credit card,1,574,-1.0050251680638205,0.0375001499188409,-0.3131101781027515,Positive,-114225.0354038122,14.034445691844773,0.5745745745745746,13.527174615774875,0,1,1,0.011509464228424767,1,2
27,Smart Office Desk,Tables,Wood,Large,Minimalist,Member,-0.7429654939159933,debit card,1,494,0.9141378339676164,0.6982161519598541,0.0832318194956681,Negative,258.07963838008413,-367.0249539945007,0.4944944944944945,-216.1238153169899,0,-1,0,0.009905357715752326,-1,0
28,Open Closet Organizer,Bedroom Furniture,Plastic,Medium,Foldable,Member,-1.3617675248168657,credit card,1,352,-1.098342268162597,1.4007004399281888,0.8759158146925075,Negative,-3579.335788940834,-479.34216873553675,0.35235235235235235,-199.66763064777678,0,-1,0,0.007058068655758742,-1,0
29,Ottoman Storage Bench,Storage & Organization,Fabric,Large,Smart,Member,-1.0863565192793283,credit card,1,15,-0.8324765678811777,0.2142868484949428,0.4795738170940877,Neutral,89.5397128048373,-16.295347789189925,0.015015015015015015,-13.419685644612985,0,0,0,0.00030076997112608275,0,0
30,Rustic Bookshelf,Storage & Organization,Wood,Large,Ergonomic,Member,-1.592682246710626,debit card,1,628,1.792727134897604,0.5391081232413626,1.272257812290927,Neutral,224.86980276468213,-1000.2044509342732,0.6286286286286287,-649.8597699736923,0,0,0,0.012592236124478665,0,0
31,Sliding Door Wardrobe,Storage & Organization,Wood,Large,Smart,Member,-1.8292166899411293,debit card,1,287,-0.2725739672885199,0.1070492027652633,1.272257812290927,Negative,394.54183256297233,-524.9851900131041,0.2872872872872873,-474.2202864170447,0,-1,0,0.005754732114212384,-1,0
32,Industrial Console Table,Tables,Metal,Medium,Smart,Member,-0.3085721995950103,cash on delivery,1,850,-0.5032256675326652,-0.975817893787694,-0.3131101781027515,Negative,1711.0384825606734,-262.2863696557588,0.8508508508508509,-10846.29962969414,1,-1,0,0.01704363169714469,-1,1
33,Hanging Hammock,Outdoor Furniture,Fabric,Medium,Minimalist,Normal,-1.2436715000105478,credit card,1,20,-0.1475642671561971,0.5843732889207384,0.0832318194956681,Negative,23.462179293303656,-24.873430000210956,0.02002002002002002,-15.699223266478146,0,-1,0,0.0004010266281681104,-1,0
34,Compact Shoe Rack,Storage & Organization,Plastic,Large,Minimalist,Normal,-1.2374860848703708,debit card,1,594,0.0197022330208549,-0.3011143727384616,0.0832318194956681,Negative,582.5229961890763,-735.0667344130003,0.5945945945945946,-1051.769711294867,0,-1,0,0.011910490856592877,-1,0
35,Padded Dining Chair,Kitchen & Dining,Fabric,Medium,Minimalist,Member,-0.6941892900488686,cash on delivery,1,159,0.3736029333954592,-0.9810632134157764,-1.89847816849643,Positive,115.7539752823344,-110.37609711777012,0.15915915915915915,-5828.6603498887935,0,1,1,0.0031881616939364774,1,1
36,Foldable Sun Lounger,Outdoor Furniture,Plastic,Medium,Minimalist,Normal,1.212124394127741,credit card,0,968,0.333106833352594,-0.2189376985651749,0.0832318194956681,Neutral,726.1233501936249,1173.3364135156535,0.0,1502.2315266787475,1,0,0,0.01940968880333654,0,2
37,Queen Bed with Storage,Bedroom Furniture,Wood,Small,Foldable,Member,1.1593064569018725,credit card,1,163,-1.5173888686061583,0.8542158431209638,0.8759158146925075,Positive,-315.04349994834786,188.96695247500523,0.16316316316316315,101.91205796027576,0,1,1,0.0032683670195700993,1,2
38,Compact Shoe Rack,Storage & Organization,Plastic,Large,Minimalist,Normal,0.4748913881422014,credit card,0,448,-1.721630068822348,0.2661572314837549,-0.7094521757011711,Negative,-620.8167028448606,212.75134188770622,0.0,168.0291646230951,0,-1,0,0.008982996470965673,-1,1
39,Classic Nightstand,Bedroom Furniture,Wood,Small,Waterproof,Normal,1.0232049937994188,debit card,0,652,-1.3395581684179243,-1.5252165570549645,0.4795738170940877,Positive,-1920.1422926675875,667.1296559572211,0.0,-1270.1992102038878,0,1,1,0.013073468078280397,1,2
40,King Size Bed Frame,Bedroom Furniture,Wood,Large,Ergonomic,Member,-0.9492576486813472,credit card,0,418,-0.2267957672400636,-0.6179705324940903,-0.7094521757011711,Positive,540.6074906082157,-396.78969714880316,0.0,-1038.636364203149,0,1,1,0.008381456528713506,1,1
41,Chaise Sofas,Sofas & Seating,Fabric,Small,Smart,Normal,0.5215090235488553,credit card,0,642,1.4176980345006354,-0.2166064453971383,1.6685998098893466,Negative,265.5418463508005,334.8087931183651,0.0,427.3826241627621,0,-1,0,0.012872954764196342,-1,1
42,Bistro Tables,Tables,Unknown,Large,Foldable,Member,-0.4429319212500492,debit card,0,676,0.5708013336041939,1.750194144036328,0.4795738170940877,Neutral,430.3535943968943,-299.42197876503326,0.0,-108.87303335086953,0,0,0,0.01355470003208213,0,0
43,Queen Bed with Storage,Bedroom Furniture,Wood,Large,Minimalist,Member,-0.0727448736187989,cash on delivery,1,11,0.8472312338967954,-0.7487149810014712,0.4795738170940877,Positive,5.954858167266442,-0.8001936098067879,0.011011011011011011,-3.1844063485992082,0,1,1,0.0002205646454924607,1,2
44,Rustic Bookshelf,Storage & Organization,Wood,Large,Ergonomic,Normal,-0.7956717810490791,cash on delivery,0,271,0.0249843330264459,-1.797584635520563,-1.89847816849643,Neutral,264.3942851300224,-215.62705266430044,0.0,270.3500582399838,0,0,0,0.005433910811677895,0,0
45,Expandable Kitchen Island,Kitchen & Dining,Wood,Large,Durable,Member,-1.2797791400165637,debit card,1,583,0.6253830336619688,-1.0364304761566434,-1.89847816849643,Negative,358.68468411812313,-746.1112386296567,0.5835835835835835,20480.414129684574,0,-1,0,0.011689926211100416,-1,0
46,Wooden Side Table,Tables,Wood,Small,Smart,Normal,-0.9934040953677375,debit card,0,684,-1.168770268237145,-0.1530797965681436,1.272257812290927,Positive,-4052.8465537477705,-679.4884012315325,0.0,-802.3051032176782,0,1,1,0.013715110683349374,1,1
47,Hanging Hammock,Outdoor Furniture,Fabric,Small,Smart,Member,-0.7926423418649008,debit card,1,801,-0.4187120674432073,0.1262820414015647,-1.1057941732995908,Neutral,1377.9745890763716,-634.9065158337855,0.8018018018018018,-563.7189376150374,1,0,0,0.01606111645813282,0,1
48,Glass Dining Table,Tables,Glass,Medium,Durable,Normal,0.2571737072153894,credit card,1,48,1.0004121340589378,-1.6509099570315993,1.6685998098893466,Neutral,23.995055410209673,12.34433794633869,0.04804804804804805,-18.9647397662092,0,0,0,0.0009624639076034649,0,1
